ProductName,TotalProfit
Cubify CubeX 3D Printer Double Head Print,-8879.9704
Lexmark MX611dhe Monochrome Laser Printer,-4589.973
"Motorola Smart Phone, Cordless",-4447.0380000000005
"Bevis Conference Table, Fully Assembled",-4377.4869
Cubify CubeX 3D Printer Triple Head Print,-3839.9904
"Bevis Computer Table, Fully Assembled",-3509.5638
"Rogers Lockers, Blue",-2893.4908
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,-2876.1156
"Bevis Round Table, Adjustable Height",-2869.252
"Lesro Computer Table, Fully Assembled",-2842.779
"Bevis Wood Table, with Bottom Storage",-2782.588
"Lesro Training Table, Rectangular",-2581.2834000000003
"Barricks Conference Table, Rectangular",-2487.9675
"Lesro Round Table, Adjustable Height",-2384.796
"Eldon Lockers, Blue",-2181.0964
"Hoover Stove, White",-2180.6257
"Samsung Audio Dock, with Caller ID",-2137.2242
"Hoover Stove, Silver",-2091.7662
"Barricks Computer Table, Fully Assembled",-2051.0242000000003
"Chromcraft Coffee Table, Fully Assembled",-1960.696
