Year,Month,MonthlySales
2011,1,98898.48886
2011,2,91152.15698
2011,3,145729.36736
2011,4,116915.76418
2011,5,146747.8361
2011,6,215207.38022
2011,7,115510.41912
2011,8,207581.49122
2011,9,290214.45534
2011,10,199071.26404
2011,11,298496.53752
2011,12,333925.7346
2012,1,135780.72024
2012,2,100510.21698
2012,3,163076.77116
2012,4,161052.26952
2012,5,208364.89124
2012,6,256175.69842
2012,7,145236.78512
2012,8,303142.94238
2012,9,289389.16564
2012,10,252939.8502
2012,11,323512.4169
2012,12,338256.9666
2013,1,199185.90738
2013,2,167239.6504
2013,3,198594.03012
2013,4,177821.31684
2013,5,260498.5647
2013,6,396519.6119
2013,7,229928.952
2013,8,326488.78936
2013,9,376619.24568
2013,10,293406.64288
2013,11,373989.3601
2013,12,405454.37802
2014,1,241268.55566
2014,2,184837.35556
2014,3,263100.77262
2014,4,242771.8613
2014,5,288401.04614
2014,6,401814.06309999997
2014,7,258705.68048
2014,8,456619.94236
2014,9,481157.2437
2014,10,422766.62916
2014,11,555279.027
2014,12,503143.69348
